Région;Province;Commune;Ecart entre le taux d’admission au CEP dans la commune et au niveau national;Retard moyen d’approvisionnement en fournitures scolaires;Taux d'accouchements assistés;Taux de CSPS ayant reçu un stock de gaz suffisant;Taux de la population ayant accès à une source d’eau potable fonctionnelle;Taux de nourrissons 0-11 mois ayant reçu les vaccins recommand;Taux d’actes de naissance délivrés;Taux d’écoles avec un forage fonctionnel;Taux d’écoles ayant un nombre suffisant de latrines fonctionnelles;Points-Ecart entre le taux d’admission au CEP dans la commune et au niveau national;Points-Retard moyen d’approvisionnement en fournitures scolaires;Points-Taux d'accouchements assistés;Points-Taux de CSPS ayant reçu un stock de gaz suffisant;Points-Taux de la population ayant accès à une source d’eau potable fonctionnelle;Points-Taux de nourrissons 0-11 mois ayant reçu les vaccins recommand;Points-Taux d’actes de naissance délivrés;Points-Taux d’écoles avec un forage fonctionnel;Points-Taux d’écoles ayant un nombre suffisant de latrines fonctionnelles;Points-Acte de naissance;Nombre d'étoiles-Acte de naissance;Points-Eau et assainissement;Nombre d'étoiles-Eau et assainissement;Points-Santé;Nombre d'étoiles-Santé;Points-écoles primaires;Nombre d'étoiles-écoles primaires;Performance globale;Nombre d'étoiles-Performance globale
PLATEAU CENTRAL;OUBRITENGA;ABSOUYA;-2;17;98;100;82;114;29;80;40;8.0;2.4000000953674316;12.0;10.0;13.0;;1.0;14.0;3.0;1.0;2.0;13.0;4.0;32.0;5.0;27.399999618530273;2.0;73.4000015258789;4.0
CENTRE EST;KOURITENGA;ANDEMTENGA;4;55;89;20;78;110;31;100;59;8.0;1.399999976158142;10.0;2.0;12.0;;2.0;25.0;5.0;2.0;3.0;12.0;3.0;22.0;3.0;39.400001525878906;5.0;75.4000015258789;5.0
SAHEL;SOUM;ARBINDA;9;49;64;0;41;103;43;85;50;9.0;1.399999976158142;4.0;0.0;5.0;;3.0;15.0;4.0;3.0;4.0;5.0;1.0;14.0;2.0;29.399999618530273;2.0;51.400001525878906;1.0
CENTRE EST;BOULGOU;BAGRÉ;24;39;114;86;77;142;55;90;80;14.0;1.600000023841858;14.0;8.600000381469727;12.0;;4.0;16.0;10.0;4.0;4.0;12.0;3.0;36.599998474121094;5.0;41.599998474121094;5.0;94.19999694824219;5.0
CASCADES;COMOE;BANFORA;-4;11;61;80;75;80;37;80;14;8.0;3.0;4.0;8.0;12.0;;2.0;14.0;0.0;2.0;3.0;12.0;3.0;17.0;2.0;25.0;1.0;56.0;1.0
SAHEL;SENO;BANI;10;240;71;0;61;107;11;90;55;9.0;0.0;7.0;0.0;9.0;;0.0;16.0;5.0;0.0;1.0;9.0;2.0;17.0;2.0;30.0;2.0;56.0;1.0
CENTRE EST;BOULGOU;BANÉ;9;9;64;0;80;102;16;80;80;9.0;3.299999952316284;4.0;0.0;12.0;;0.0;14.0;10.0;0.0;1.0;12.0;3.0;14.0;2.0;36.29999923706055;4.0;62.29999923706055;2.0
SAHEL;SOUM;BARABOULE;25;10;91;75;55;118;20;93;47;14.0;3.0999999046325684;11.0;7.5;7.0;;0.0;16.0;3.0;0.0;1.0;7.0;1.0;28.5;5.0;36.099998474121094;4.0;71.5999984741211;4.0
CENTRE NORD;SANMATENGA;BARSALOGHO;-12;18;151;0;65;105;25;95;65;6.0;2.299999952316284;15.0;0.0;9.0;;1.0;20.0;7.0;1.0;2.0;9.0;2.0;25.0;4.0;35.29999923706055;4.0;70.30000305175781;4.0
CENTRE EST;KOURITENGA;BASKOURE;-5;11;67;0;99;80;51;100;82;7.0;3.0;5.0;0.0;18.0;;4.0;25.0;10.0;4.0;4.0;18.0;5.0;12.0;1.0;45.0;5.0;79.0;5.0
CENTRE SUD;ZOUNDWEOGO;BERE;8;79;53;75;70;75;22;53;33;9.0;1.100000023841858;1.0;7.5;11.0;;1.0;8.0;1.0;1.0;2.0;11.0;3.0;11.5;1.0;19.100000381469727;1.0;42.599998474121094;1.0
CASCADES;COMOE;BEREGADOUGOU;8;2;95;0;43;70;52;100;38;9.0;7.599999904632568;11.0;0.0;5.0;;4.0;25.0;2.0;4.0;4.0;5.0;1.0;13.0;1.0;43.599998474121094;5.0;65.5999984741211;3.0
CENTRE SUD;ZOUNDWEOGO;BINDÉ;-28;356;53;25;82;72;24;13;73;3.0;0.0;1.0;2.5;13.0;;1.0;1.0;8.0;1.0;2.0;13.0;4.0;6.5;1.0;12.0;1.0;32.5;1.0
CENTRE EST;BOULGOU;BISSIGA;-22;134;47;0;80;93;28;90;50;4.0;0.8999999761581421;1.0;0.0;12.0;;1.0;16.0;4.0;1.0;2.0;12.0;3.0;10.0;1.0;24.899999618530273;1.0;47.900001525878906;1.0
CENTRE EST;BOULGOU;BITTOU;-2;26;69;0;42;112;15;100;53;8.0;2.0;5.0;0.0;5.0;;0.0;25.0;4.0;0.0;1.0;5.0;1.0;15.0;2.0;39.0;4.0;59.0;2.0
CENTRE NORD;NAMENTENGA;BOALA;8;31;47;33;82;79;26;90;100;9.0;1.7999999523162842;1.0;3.299999952316284;13.0;;1.0;16.0;15.0;1.0;2.0;13.0;4.0;9.300000190734863;1.0;41.79999923706055;5.0;65.0999984741211;3.0
PLATEAU CENTRAL;GANZOURGOU;BOUDRY;4;39;83;0;71;107;40;96;80;8.0;1.600000023841858;9.0;0.0;11.0;;2.0;20.0;10.0;2.0;3.0;11.0;3.0;19.0;3.0;39.599998474121094;5.0;71.5999984741211;4.0
CENTRE NORD;NAMENTENGA;BOULSA;-1;8;75;50;69;91;49;92;80;8.0;3.5999999046325684;7.0;5.0;10.0;;3.0;16.0;10.0;3.0;4.0;10.0;2.0;21.0;3.0;37.599998474121094;4.0;71.5999984741211;4.0
SAHEL;YAGHA;BOUNDORÉ;-8;45;93;100;68;107;2;73;60;7.0;1.5;11.0;10.0;10.0;;0.0;12.0;6.0;0.0;1.0;10.0;2.0;31.0;5.0;26.5;1.0;67.5;3.0
CENTRE NORD;NAMENTENGA;BOUROUM;-19;84;77;33;57;124;24;60;80;5.0;1.100000023841858;8.0;3.299999952316284;8.0;;1.0;10.0;10.0;1.0;2.0;8.0;1.0;23.299999237060547;4.0;26.100000381469727;1.0;58.400001525878906;2.0
CENTRE NORD;BAM;BOURZANGA;-6;53;82;0;57;108;69;100;87;7.0;1.399999976158142;9.0;0.0;8.0;;5.0;25.0;11.0;5.0;5.0;8.0;1.0;19.0;3.0;44.400001525878906;5.0;76.4000015258789;5.0
CENTRE EST;BOULGOU;BOUSSOUMA;-3;19;72;0;89;97;54;100;40;8.0;2.299999952316284;7.0;0.0;14.0;;4.0;25.0;3.0;4.0;4.0;14.0;4.0;16.0;2.0;38.29999923706055;4.0;72.30000305175781;4.0
CENTRE NORD;SANMATENGA;BOUSSOUMA;3;20;92;0;75;94;12;96;68;8.0;2.200000047683716;11.0;0.0;11.0;;0.0;20.0;7.0;0.0;1.0;11.0;3.0;20.0;3.0;37.20000076293945;4.0;68.19999694824219;3.0
PLATEAU CENTRAL;KOURWEOGO;BOUSSÉ;-14;20;74;25;82;100;7;95;45;6.0;2.299999952316284;7.0;2.5;13.0;;0.0;20.0;3.0;0.0;1.0;13.0;4.0;18.5;2.0;31.299999237060547;3.0;62.79999923706055;2.0
CENTRE EST;BOULGOU;BÉGUÉDO;-21;12;97;0;98;108;79;100;56;4.0;2.9000000953674316;12.0;0.0;18.0;;6.0;25.0;5.0;6.0;5.0;18.0;5.0;22.0;3.0;36.900001525878906;4.0;82.9000015258789;5.0
CENTRE EST;KOULPELOGO;COMIN-YANGA;1;42;82;0;62;126;24;93;53;8.0;1.5;9.0;0.0;9.0;;1.0;16.0;4.0;1.0;2.0;9.0;2.0;21.0;3.0;29.5;2.0;60.5;2.0
CENTRE NORD;SANMATENGA;DABLO;-10;59;62;0;72;112;75;100;100;7.0;1.2999999523162842;4.0;0.0;11.0;;6.0;25.0;15.0;6.0;5.0;11.0;3.0;14.0;2.0;48.29999923706055;5.0;79.30000305175781;5.0
CASCADES;LERABA;DAKORO;21;154;88;0;55;105;31;90;40;14.0;0.800000011920929;10.0;0.0;7.0;;2.0;16.0;3.0;2.0;3.0;7.0;1.0;20.0;3.0;33.79999923706055;3.0;62.79999923706055;2.0
PLATEAU CENTRAL;OUBRITENGA;DAPELOGO;4;30;98;0;79;99;17;90;75;8.0;1.7999999523162842;12.0;0.0;12.0;;0.0;16.0;9.0;0.0;1.0;12.0;3.0;21.0;3.0;34.79999923706055;3.0;67.80000305175781;3.0
CENTRE NORD;NAMENTENGA;DARGO;0;80;92;25;68;116;24;73;73;8.0;1.100000023841858;11.0;2.5;10.0;;1.0;12.0;8.0;1.0;2.0;10.0;2.0;23.5;4.0;29.100000381469727;2.0;63.599998474121094;3.0
SAHEL;OUDALAN;DEOU;-12;26;51;100;41;125;26;93;57;6.0;2.0;1.0;10.0;5.0;;1.0;16.0;5.0;1.0;2.0;5.0;1.0;23.0;4.0;29.0;2.0;58.0;2.0
CENTRE EST;KOURITENGA;DIALGAYE;3;25;147;67;89;207;56;80;67;8.0;2.0;15.0;6.699999809265137;14.0;;4.0;14.0;7.0;4.0;4.0;14.0;4.0;36.70000076293945;5.0;31.0;3.0;85.69999694824219;5.0
SAHEL;SOUM;DJIBO;8;6;47;0;64;115;137;57;71;9.0;3.9000000953674316;1.0;0.0;9.0;;12.0;9.0;8.0;12.0;5.0;9.0;2.0;11.0;1.0;29.899999618530273;2.0;61.900001525878906;2.0
SAHEL;SOUM;DJIGUEL;3;45;73;33;58;130;90;91;55;8.0;1.5;7.0;3.299999952316284;8.0;;9.0;16.0;4.0;9.0;5.0;8.0;1.0;22.299999237060547;4.0;29.5;2.0;68.80000305175781;3.0
SAHEL;SENO;DORI;-3;36;78;6;63;118;30;88;60;8.0;1.7000000476837158;8.0;0.6000000238418579;9.0;;2.0;15.0;6.0;2.0;3.0;9.0;2.0;18.600000381469727;3.0;30.700000762939453;3.0;60.29999923706055;2.0
CENTRE SUD;BAZEGA;DOULOUGOU;-3;47;59;0;93;102;36;57;64;8.0;1.5;2.0;0.0;16.0;;2.0;9.0;6.0;2.0;3.0;16.0;5.0;12.0;1.0;24.5;1.0;54.5;1.0
CASCADES;LERABA;DOUNA;20;4;54;100;85;78;28;60;30;12.0;5.300000190734863;1.0;10.0;13.0;;1.0;10.0;1.0;1.0;2.0;13.0;4.0;16.0;2.0;28.299999237060547;2.0;58.29999923706055;2.0
CENTRE EST;KOULPELOGO;DOURTENGA;0;24;75;0;82;95;44;70;50;8.0;2.0999999046325684;7.0;0.0;13.0;;3.0;12.0;4.0;3.0;4.0;13.0;4.0;16.0;2.0;26.100000381469727;1.0;58.099998474121094;2.0
SAHEL;SENO;FALANGOUNTOU;11;78;118;0;66;160;36;100;60;10.0;1.100000023841858;14.0;0.0;10.0;;2.0;25.0;6.0;2.0;3.0;10.0;2.0;29.0;5.0;42.099998474121094;5.0;83.0999984741211;5.0
CENTRE SUD;BAZEGA;GAONGO;-2;23;88;0;57;103;18;13;25;8.0;2.0999999046325684;10.0;0.0;8.0;;0.0;1.0;0.0;0.0;1.0;8.0;1.0;20.0;3.0;11.100000381469727;1.0;39.099998474121094;1.0
CENTRE EST;BOULGOU;GARANGO;-4;255;67;0;84;82;56;95;40;8.0;0.0;5.0;0.0;13.0;;4.0;20.0;3.0;4.0;4.0;13.0;4.0;12.0;1.0;31.0;3.0;60.0;2.0
CENTRE SUD;ZOUNDWEOGO;GOGO;-6;364;76;71;76;90;126;73;53;7.0;0.0;8.0;7.099999904632568;12.0;;12.0;12.0;4.0;12.0;5.0;12.0;3.0;23.100000381469727;4.0;23.0;1.0;70.0999984741211;4.0
CENTRE SUD;ZOUNDWEOGO;GOMBOUSSOUGOU;15;194;92;17;79;110;42;75;55;12.0;0.699999988079071;11.0;1.7000000476837158;12.0;;3.0;13.0;5.0;3.0;4.0;12.0;3.0;22.700000762939453;4.0;30.700000762939453;3.0;68.4000015258789;3.0
SAHEL;SENO;GORGADJI;-6;65;77;0;35;96;24;100;70;7.0;1.2000000476837158;8.0;0.0;4.0;;1.0;25.0;8.0;1.0;2.0;4.0;1.0;17.0;2.0;41.20000076293945;5.0;63.20000076293945;3.0
SAHEL;OUDALAN;GOROM-GOROM;1;226;62;67;47;105;5;80;36;8.0;0.0;4.0;6.699999809265137;6.0;;0.0;14.0;2.0;0.0;1.0;6.0;1.0;20.700000762939453;3.0;24.0;1.0;50.70000076293945;1.0
CENTRE EST;KOURITENGA;GOUNGHIN;0;21;60;0;90;74;30;96;62;8.0;2.200000047683716;4.0;0.0;14.0;;2.0;20.0;6.0;2.0;3.0;14.0;4.0;7.0;1.0;36.20000076293945;4.0;59.20000076293945;2.0
CENTRE SUD;NAHOURI;GUIARO;7;85;92;25;70;94;37;100;50;9.0;1.100000023841858;11.0;2.5;11.0;;2.0;25.0;4.0;2.0;3.0;11.0;3.0;22.5;4.0;39.099998474121094;4.0;74.5999984741211;4.0
CENTRE SUD;ZOUNDWEOGO;GUIBA;11;213;60;50;92;77;15;24;29;10.0;0.0;2.0;5.0;16.0;;0.0;2.0;0.0;0.0;1.0;16.0;5.0;12.0;1.0;12.0;1.0;40.0;1.0
CENTRE NORD;BAM;GUIBARÉ;11;5;100;50;76;107;129;83;58;10.0;4.400000095367432;12.0;5.0;12.0;;12.0;14.0;5.0;12.0;5.0;12.0;3.0;27.0;5.0;33.400001525878906;3.0;84.4000015258789;5.0
CENTRE SUD;BAZEGA;IPELCÉ;-9;11;57;0;96;98;20;100;70;7.0;3.0;2.0;0.0;18.0;;0.0;25.0;8.0;0.0;1.0;18.0;5.0;11.0;1.0;43.0;5.0;72.0;4.0
CENTRE EST;KOURITENGA;KANDO;-18;35;78;50;80;105;27;84;68;5.0;1.7000000476837158;8.0;5.0;13.0;;1.0;14.0;7.0;1.0;2.0;13.0;4.0;23.0;4.0;27.700000762939453;2.0;64.69999694824219;3.0
CASCADES;LERABA;KANKALABA;7;3;50;100;67;98;29;90;30;9.0;6.0;1.0;10.0;10.0;;1.0;16.0;1.0;1.0;2.0;10.0;2.0;20.0;3.0;32.0;3.0;63.0;3.0
CENTRE NORD;SANMATENGA;KAYA;-4;52;78;0;81;96;25;80;40;8.0;1.399999976158142;8.0;0.0;13.0;;1.0;14.0;3.0;1.0;2.0;13.0;4.0;17.0;2.0;26.399999618530273;1.0;57.400001525878906;2.0
CENTRE SUD;BAZEGA;KAYAO;-6;12;59;38;82;94;11;60;60;7.0;2.9000000953674316;2.0;3.799999952316284;13.0;;0.0;10.0;6.0;0.0;1.0;13.0;4.0;14.800000190734863;2.0;25.899999618530273;1.0;53.70000076293945;1.0
SAHEL;SOUM;KELBO;12;21;78;100;68;142;32;90;20;10.0;2.200000047683716;8.0;10.0;10.0;;2.0;16.0;0.0;2.0;3.0;10.0;2.0;32.0;5.0;28.200000762939453;2.0;72.19999694824219;4.0
PLATEAU CENTRAL;GANZOURGOU;KOGO;23;56;63;100;83;93;19;80;70;14.0;1.2999999523162842;4.0;10.0;13.0;;0.0;14.0;8.0;0.0;1.0;13.0;4.0;23.0;4.0;37.29999923706055;4.0;73.30000305175781;4.0
CENTRE SUD;BAZEGA;KOMBISSIRI;-9;48;82;22;86;97;160;84;32;7.0;1.399999976158142;9.0;2.200000047683716;14.0;;12.0;14.0;1.0;12.0;5.0;14.0;4.0;20.200000762939453;3.0;23.399999618530273;1.0;69.69999694824219;4.0
CENTRE EST;BOULGOU;KOMTOEGA;4;75;72;0;96;90;57;100;44;8.0;1.2000000476837158;7.0;0.0;18.0;;4.0;25.0;3.0;4.0;4.0;18.0;5.0;16.0;2.0;37.20000076293945;4.0;75.19999694824219;5.0
CENTRE NORD;BAM;KONGOUSSI;-8;7;57;40;83;76;52;95;70;7.0;3.700000047683716;2.0;4.0;13.0;;4.0;20.0;8.0;4.0;4.0;13.0;4.0;11.0;1.0;38.70000076293945;4.0;66.69999694824219;3.0
CENTRE NORD;SANMATENGA;KORSIMORO;-3;27;83;13;73;93;57;100;25;8.0;1.899999976158142;9.0;1.2999999523162842;11.0;;4.0;25.0;0.0;4.0;4.0;11.0;3.0;19.299999237060547;3.0;34.900001525878906;4.0;69.19999694824219;3.0
CENTRE EST;KOURITENGA;KOUPELA;7;24;139;50;86;107;28;73;53;9.0;2.0;15.0;5.0;14.0;;1.0;12.0;4.0;1.0;2.0;14.0;4.0;30.0;5.0;27.0;2.0;72.0;4.0
SAHEL;SOUM;KOUTOUGOU;14;46;49;100;37;154;9;80;50;10.0;1.5;1.0;10.0;4.0;;0.0;14.0;4.0;0.0;1.0;4.0;1.0;26.0;5.0;29.5;2.0;59.5;2.0
CENTRE EST;KOULPELOGO;LALGAYE;7;9;86;0;74;107;21;90;40;9.0;3.4000000953674316;10.0;0.0;11.0;;1.0;16.0;3.0;1.0;2.0;11.0;3.0;20.0;3.0;31.399999618530273;3.0;63.400001525878906;3.0
PLATEAU CENTRAL;KOURWEOGO;LAYE;-14;71;44;0;98;88;32;80;90;6.0;1.2000000476837158;1.0;0.0;18.0;;2.0;14.0;12.0;2.0;3.0;18.0;5.0;9.0;1.0;33.20000076293945;3.0;62.20000076293945;2.0
CASCADES;LERABA;LOUMANA;12;38;81;67;63;110;53;87;40;10.0;1.600000023841858;9.0;6.699999809265137;9.0;;4.0;15.0;3.0;4.0;4.0;9.0;2.0;25.700000762939453;4.0;29.600000381469727;2.0;68.30000305175781;3.0
